,Motion/Topic,MP Response
2970,MOTION OF THANKS,Mr Speaker regard ministry placed emphasis decent work promotion enable vulnerable households earn meaningful incomes discourage parents allowing children undertake work harmful wellbeing Further ministry working towards strengthening District Child Labour Committees ensure go parts country participate promoting decent work agenda recognise include child labour
2971,MOTION OF THANKS,Mr Speaker democracy constitutionalism page 10 President Speech stated Government continue uphold adequate representation employees employers Tripartite Consultative Labour Council TCLC On matters relate work employment workplaces Government paid extra attention ensuring platform deals In past TCLC see light day ensuring provided platform workers Zambia Now seen workers Zambia voice heard
2972,MOTION OF THANKS,Mr Speaker complacency one issues President talked I would also like speak In ministry productivity message give workers Zambia We afford complacent Every one us called table work order turn economy around For lack time I end
2973,MOTION OF THANKS,The Minister Eastern Province Mr Phiri Mr Speaker Eastern Province applaud His Excellency President Republic Zambia Mr Hakainde Hichilema New Dawn Government upholding Constitution reporting progress made application national values principles line Article 9 2 Constitution Zambia This among many fulfilled promises show New Dawn Administration Government walks talk
2974,MOTION OF THANKS,Mr Speaker Eastern Province continued promotion good morals ethics among people help curb challenges alcohol substance abuse teenage pregnancy child marriage Violence GBV province
2975,MOTION OF THANKS,Mr Speaker respect prevention child marriages province undertook sensitisation thirty chiefdoms withdrew girls child marriages disposed cases involving child marriages In order retain girls school Government continued implement policy girls admitted back school falling pregnant
2976,MOTION OF THANKS,Mr Speaker line Government resolve curb alcohol substance abuse province sensitised individuals organisations dangers alcohol substance abuse well trained sixty people It also committed 710 people offences
2977,MOTION OF THANKS,Mr Speaker newly introduced policy free education among many interventions New Dawn Government introduced ensure children stay longer school Eastern Province like rest country recorded increase number pupils schools early childhood education Grade 12 representing 13 per cent increase 2023 2021
2978,MOTION OF THANKS,Mr Speaker enactment Trafficking Amendment Act 2022 commendable milestone As aware Eastern Province shares borders Malawi Mozambique So new Act greatly contribute safeguarding rights victims human trafficking provision necessary requisite services well enhance protection
2979,MOTION OF THANKS,Mr Speaker New Dawn Government resolve empower Micro Small Medium Enterprises MSMEs Constituency Development Fund CDF grassroots game changer It gratifying note President Address measures put place improve efficiency effectiveness implementation CDF decentralisation provincial administrations well streamlining related procurement guidelines
2980,MOTION OF THANKS,Mr Phiri various interventions United Party National Development UPND Government implementing highlighted President Address indeed nation large seeing tangible transformation improvement lives people A lot needs done application national values principles lot mindset behaviour change Thus keep pushing relent
2981,MOTION OF THANKS,I thank Mr Speaker
2982,MOTION OF THANKS,Mr Second Deputy Speaker Sorry availed opportunity speak We finish business So I call upon mover Motion wind debate
2983,MOTION OF THANKS,Ms Munashabantu Mapatizya Mr Speaker thank much giving opportunity wind debate important Motion enabled us debate values principles define us nation
2984,MOTION OF THANKS,Mr Speaker enthusiasm House exhibited debating Motion shows despite divergent views indeed united country
2985,MOTION OF THANKS,Mr Speaker last ten days I closely followed debate sides House one striking thing hon Members sides House eager ensure national values principles upheld This way Since agreed need uphold national values principles allow thank hon Members spirited debate Motion
2986,MOTION OF THANKS,I thank Mr Speaker
2987,ADJOURNMENT,The Mrs Nalumango Mr Speaker I beg move house adjourn
2988,ADJOURNMENT,The House adjourned 1832 hours 0900 hours Friday 17th March 2023
2989,MR MUNIR ZULU HON MEMBER FOR LUMEZI ON THE HON MINISTER OF HOME AFFAIRS AND INTERNAL SECURITY MR MWIIMBU ON THE ARREST OF GOVERNMENT OFFICIALS,Mr Munir Zulu Lumezi Madam Speaker matter urgent public importance
2990,MR MUNIR ZULU HON MEMBER FOR LUMEZI ON THE HON MINISTER OF HOME AFFAIRS AND INTERNAL SECURITY MR MWIIMBU ON THE ARREST OF GOVERNMENT OFFICIALS,Madam First Deputy Speaker A matter urgent public importance raised
2991,MR MUNIR ZULU HON MEMBER FOR LUMEZI ON THE HON MINISTER OF HOME AFFAIRS AND INTERNAL SECURITY MR MWIIMBU ON THE ARREST OF GOVERNMENT OFFICIALS,Madam Speaker I appreciate guidance give House raise matters urgent public importance Before I cite Standing Orders permit seek authority Republican Constitution gives us authority privileges speak House know well Standing Orders generated Republican Constitution
2992,MR MUNIR ZULU HON MEMBER FOR LUMEZI ON THE HON MINISTER OF HOME AFFAIRS AND INTERNAL SECURITY MR MWIIMBU ON THE ARREST OF GOVERNMENT OFFICIALS,I think let us mix two As much Constitution whole country House got rules follow We follow everything specific rules This House generated rules supposed follow The Standing Orders follow House
2993,MR MUNIR ZULU HON MEMBER FOR LUMEZI ON THE HON MINISTER OF HOME AFFAIRS AND INTERNAL SECURITY MR MWIIMBU ON THE ARREST OF GOVERNMENT OFFICIALS,Mr Munir Zulu Madam Speaker I thought supremacy Constitution Nevertheless I directing matter urgent public importance hon Minister Home Affairs Internal Security
2994,MR MUNIR ZULU HON MEMBER FOR LUMEZI ON THE HON MINISTER OF HOME AFFAIRS AND INTERNAL SECURITY MR MWIIMBU ON THE ARREST OF GOVERNMENT OFFICIALS,Madam Speaker I perused Standing Order 134 nowhere tell us matter life threatening something interest public We seen videos circulating today I laying flash disk evidence Table The people involved sugilite scandal detained seven days Luapula Province Mansa District particular Names mentioned cells police officers challenged arresting people mentioned
2995,MR MUNIR ZULU HON MEMBER FOR LUMEZI ON THE HON MINISTER OF HOME AFFAIRS AND INTERNAL SECURITY MR MWIIMBU ON THE ARREST OF GOVERNMENT OFFICIALS,Madam Speaker could interest House know I interested matter Lumezi Constituency region If illegalities taking place Mansa ignored suspects mentioned arrested tomorrow I wake find Lumezi people started transporting gold illegally us part House
2996,MR MUNIR ZULU HON MEMBER FOR LUMEZI ON THE HON MINISTER OF HOME AFFAIRS AND INTERNAL SECURITY MR MWIIMBU ON THE ARREST OF GOVERNMENT OFFICIALS,Madam Speaker two weeks ago maize stolen Lumezi government official later released police bond issue quiet Furthermore names people involved sugilite scandal mentioned video council chairperson deputy national youth chairperson administration Ruling Party
2997,MR MUNIR ZULU HON MEMBER FOR LUMEZI ON THE HON MINISTER OF HOME AFFAIRS AND INTERNAL SECURITY MR MWIIMBU ON THE ARREST OF GOVERNMENT OFFICIALS,Madam Speaker hon Minister Home Affairs Internal Security order seated comfortably without addressing matter
2998,MR MUNIR ZULU HON MEMBER FOR LUMEZI ON THE HON MINISTER OF HOME AFFAIRS AND INTERNAL SECURITY MR MWIIMBU ON THE ARREST OF GOVERNMENT OFFICIALS,Madam Speaker I seek serious ruling permission permit lay flash disk Table
2999,MR BANDA HON MEMBER FOR PETAUKE CENTRAL ON THE MRS NALUMANGO ON TRIBALISM,Mr Banda Petauke Central Madam Speaker matter urgent public importance
3000,MR BANDA HON MEMBER FOR PETAUKE CENTRAL ON THE MRS NALUMANGO ON TRIBALISM,Madam First Deputy Speaker A matter urgent public importance raised
3001,MR BANDA HON MEMBER FOR PETAUKE CENTRAL ON THE MRS NALUMANGO ON TRIBALISM,Mr Banda Madam Speaker thank giving good people Petauke opportunity raise matter urgent public importance Standing Order 134
3002,MR BANDA HON MEMBER FOR PETAUKE CENTRAL ON THE MRS NALUMANGO ON TRIBALISM,Madam Speaker matter directed Leader Government Business House us This tribalism Tribalism
3003,MR BANDA HON MEMBER FOR PETAUKE CENTRAL ON THE MRS NALUMANGO ON TRIBALISM,When raise matter urgent public importance supposed direct Executive yet said directed us How going attended addressed us
3004,MR BANDA HON MEMBER FOR PETAUKE CENTRAL ON THE MRS NALUMANGO ON TRIBALISM,Mr Banda Madam Speaker thank guidance This matter directed Her Honour
3005,MR BANDA HON MEMBER FOR PETAUKE CENTRAL ON THE MRS NALUMANGO ON TRIBALISM,Madam Speaker tribalism Tribalism cancer divide nation If allow continue Zambia divided children come blame generation
3006,MR BANDA HON MEMBER FOR PETAUKE CENTRAL ON THE MRS NALUMANGO ON TRIBALISM,Hon Member Petauke Central please use English words well people listening move Can maybe also bit serious urgent matter
3007,MR BANDA HON MEMBER FOR PETAUKE CENTRAL ON THE MRS NALUMANGO ON TRIBALISM,The term rude shock mentor politics told I make words opposite people understand well laughing celebrating
3008,MR BANDA HON MEMBER FOR PETAUKE CENTRAL ON THE MRS NALUMANGO ON TRIBALISM,Madam Speaker council chairperson Mwense group detained I sure busy I know whether permission I play clip I lay Table This council chairperson mentioned something tribes said certain tribes left alone tribes kept custody Things like someone broken law issue tribe supposed come If let things continue like I sure 2026 nation divided
3009,MR BANDA HON MEMBER FOR PETAUKE CENTRAL ON THE MRS NALUMANGO ON TRIBALISM,So seek indulgence Madam Speaker put something stop tribalism goes spreads like cancer
3010,MR BANDA HON MEMBER FOR PETAUKE CENTRAL ON THE MRS NALUMANGO ON TRIBALISM,I thank Madam Speaker
3011,MR MUKOSA HON MEMBER FOR CHINSALI ON THE HON MINISTER OF INFRASTRUCTURE HOUSING AND URBAN DEVELOPMENT ENG MILUPI ON THE STATE OF THE ROAD IN CHINSALI,Madam First Deputy Speaker A matter urgent public importance raised
3012,MR MUKOSA HON MEMBER FOR CHINSALI ON THE HON MINISTER OF INFRASTRUCTURE HOUSING AND URBAN DEVELOPMENT ENG MILUPI ON THE STATE OF THE ROAD IN CHINSALI,Mr Mukosa Madam Speaker thank allowing rise matter urgent public importance directed hon Minister Infrastructure Housing Urban Development
3013,MR MUKOSA HON MEMBER FOR CHINSALI ON THE HON MINISTER OF INFRASTRUCTURE HOUSING AND URBAN DEVELOPMENT ENG MILUPI ON THE STATE OF THE ROAD IN CHINSALI,Madam Speaker road goes Chinsali Mulilansolo It referred Road This road important used daily basis move Chinsali Chilinda area Chilinda area many wards villages People also use road Chilinda Chinsali The part Kampemba Mundu road become impassable due heavy rains
3014,MR MUKOSA HON MEMBER FOR CHINSALI ON THE HON MINISTER OF INFRASTRUCTURE HOUSING AND URBAN DEVELOPMENT ENG MILUPI ON THE STATE OF THE ROAD IN CHINSALI,Now happens workers health sector want transport people Mulilansolo take Chinsali Boma treatment fail pass stretch They get stranded In cases use Great North Road passes Kafwimbi Nambuluma get Chinsali
3015,MR MUKOSA HON MEMBER FOR CHINSALI ON THE HON MINISTER OF INFRASTRUCTURE HOUSING AND URBAN DEVELOPMENT ENG MILUPI ON THE STATE OF THE ROAD IN CHINSALI,Madam Speaker risk event get stuck go around get Chinsali takes long patient sick even lead death So I wanted find whether Government intervention made help reducing problems moment
3016,MR MTAYACHALO HON MEMBER FOR CHAMA NORTH ON THE MRS NALUMANGO ON THE IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Mr Mtayachalo Chama North Madam Speaker matter urgent public importance
3017,MR MTAYACHALO HON MEMBER FOR CHAMA NORTH ON THE MRS NALUMANGO ON THE IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam First Deputy Speaker A matter urgent public importance raised
3018,MR MTAYACHALO HON MEMBER FOR CHAMA NORTH ON THE MRS NALUMANGO ON THE IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Mr Mtayachalo Madam Speaker matter urgent public importance I wish raise directed Her Honour
3019,MR MTAYACHALO HON MEMBER FOR CHAMA NORTH ON THE MRS NALUMANGO ON THE IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker aware Tropical Cyclone Freddy catastrophic consequences Malawi At moment remnants actually caused devastating effects parts Chama North Chama South Many wards Chama North Chama South affected leaving several homes collapsed crops destroyed Currently 100 households accommodation tents food They also access clean safe drinking water
3020,MR MTAYACHALO HON MEMBER FOR CHAMA NORTH ON THE MRS NALUMANGO ON THE IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,Madam Speaker I touch Disaster Management Mitigation Unit DMMU Chama sent issues hunger situation We appreciate Government sent person issues hunger situation However situation desperate officers able go Chama South Chama North roads accessible They cross Kampemba River bridge Chama South also accessible
3021,MR MTAYACHALO HON MEMBER FOR CHAMA NORTH ON THE MRS NALUMANGO ON THE IMPACT OF CYCLONE FREDDY ON CHAMA DISTRICT,I seek serious indulgence matter Madam Speaker
3022,MR ANAKOKA HON MEMBER FOR LUENA ON THE MRS NALUMANGO ON THE RETURN OF THE FORMER PRESIDENT TO ACTIVE POLITICS,Madam First Deputy Speaker A matter urgent public importance raised
3023,MR ANAKOKA HON MEMBER FOR LUENA ON THE MRS NALUMANGO ON THE RETURN OF THE FORMER PRESIDENT TO ACTIVE POLITICS,Mr Anakoka Madam Speaker I rise matter urgent public importance directed Her Honour
3024,MR ANAKOKA HON MEMBER FOR LUENA ON THE MRS NALUMANGO ON THE RETURN OF THE FORMER PRESIDENT TO ACTIVE POLITICS,Madam Speaker following elections 2021 former Republican President purportedly resigned position president Patriotic Front PF governing party prior elections This morning woke newspaper report
3025,MR ANAKOKA HON MEMBER FOR LUENA ON THE MRS NALUMANGO ON THE RETURN OF THE FORMER PRESIDENT TO ACTIVE POLITICS,Mr Anakoka We woke newspaper report Zambia Daily Mail 16th March 2023 effect supposedly Acting PF submitted court law president Mr Edgar Chagwa Lungu PF actually resigned It stated purported resignation yet take effect PF members convention whenever going
3026,MR ANAKOKA HON MEMBER FOR LUENA ON THE MRS NALUMANGO ON THE RETURN OF THE FORMER PRESIDENT TO ACTIVE POLITICS,Mr Anakoka Madam Speaker matter urgent public importance Is Government order continue spending money according status former Head State basis resigned left active politics fact party charge says still active politics
3027,MR ANAKOKA HON MEMBER FOR LUENA ON THE MRS NALUMANGO ON THE RETURN OF THE FORMER PRESIDENT TO ACTIVE POLITICS,I seek serious guidance Madam Speaker important matter urgent public importance
3028,MR ANAKOKA HON MEMBER FOR LUENA ON THE MRS NALUMANGO ON THE RETURN OF THE FORMER PRESIDENT TO ACTIVE POLITICS,The hon Member Lumezi raised matter talked sugilite scandal said people arrested even names mentioned What I say matter hon Member admissible First issue already discussed There ministerial statement within meeting Secondly investigations still ongoing
3029,MR ANAKOKA HON MEMBER FOR LUENA ON THE MRS NALUMANGO ON THE RETURN OF THE FORMER PRESIDENT TO ACTIVE POLITICS,The hon Member Petauke Central talked tribalism cancer divide nation although I clear happening This matter admissible new thing This issue discussed country unite In fact even previous Government talk tribalism Now New Dawn Government still talk issue So something new
3030,MR ANAKOKA HON MEMBER FOR LUENA ON THE MRS NALUMANGO ON THE RETURN OF THE FORMER PRESIDENT TO ACTIVE POLITICS,Hon Member Petauke Central raising matters try specific clear I clear problem happening
3031,MR ANAKOKA HON MEMBER FOR LUENA ON THE MRS NALUMANGO ON THE RETURN OF THE FORMER PRESIDENT TO ACTIVE POLITICS,The hon Member Chinsali talked road become impassable patients picked communities go round take longer routes reach clinics
3032,MR ANAKOKA HON MEMBER FOR LUENA ON THE MRS NALUMANGO ON THE RETURN OF THE FORMER PRESIDENT TO ACTIVE POLITICS,Hon Member way phrased matter like raising question You took segment issue raised question So I advise hon Member go ahead raise question This scenario hon Member mentioned peculiar Chinsali also many places especially rainy season
3033,MR ANAKOKA HON MEMBER FOR LUENA ON THE MRS NALUMANGO ON THE RETURN OF THE FORMER PRESIDENT TO ACTIVE POLITICS,The hon Member Chama North raised matter Her Honour talked Cyclone Freddy hit Malawi also affected certain wards constituency He talked food clean water people However hon Member mentioned actually consulted Disaster Management Mitigation Unit DMMU move The Government working together hon Member Parliament
3034,MR ANAKOKA HON MEMBER FOR LUENA ON THE MRS NALUMANGO ON THE RETURN OF THE FORMER PRESIDENT TO ACTIVE POLITICS,Hon Member since Government aware situation also started something towards problem ask question since issues mentioned lack food water What extra help get DMMM since already working So raise urgent question way making follow issue
3035,MR ANAKOKA HON MEMBER FOR LUENA ON THE MRS NALUMANGO ON THE RETURN OF THE FORMER PRESIDENT TO ACTIVE POLITICS,The hon Member Parliament Luena raised matter urgent public importance Her Honour former Republican President resigned active politics still active He wanted know whether Government order continue giving salary
3036,MR ANAKOKA HON MEMBER FOR LUENA ON THE MRS NALUMANGO ON THE RETURN OF THE FORMER PRESIDENT TO ACTIVE POLITICS,Madam First Deputy Speaker requires urgent attention It important find correct way raising
3037,MR ANAKOKA HON MEMBER FOR LUENA ON THE MRS NALUMANGO ON THE RETURN OF THE FORMER PRESIDENT TO ACTIVE POLITICS,I thank
3038,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,The Minister Home Affairs Internal Security Mr Mwiimbu Madam Speaker I thank according opportunity issue ministerial statement matter urgent public importance raised Mr Francis Kapyanga Hon Member Mpika Constituency escape prison abductors mobile money agents girls public domain New Mwembezhi Remand Prisons Correctional Centre Chilanga District
3039,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Madam Speaker House may wish note 26th February 2023 around 1300 hours Zambia Correctional Service new Mwembezhi Remand Prison Correctional Centre recorded one escape incidence two convicts one remandee escaped scaling perimeter wall fence facility The two convicts admitted facility offence stock theft remandee admitted offence aggravated robbery
3040,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Madam Speaker date time Zambia Correctional Service recorded incidence one remandee one two suspects arrested connection alleged abduction Pamela Chisupa twelve others attempted escape The remandee climbed wall fence jumped injured landing He recaptured immediately thereafter receiving medical attention custody Zambia Correctional Service The remandee admitted facility December 2022 Contrary stories circulating media platforms shooting incidence occurred facility I wish confirm gun shot fired convicts remandees
3041,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Madam Speaker 28th February 2023 one convicts recaptured convict recaptured 4th March 2023 around 2330 hours Linda compound Out three escapees one still large
3042,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Madam Speaker two suspects Pamela Chisupa abduction case safe still custody Zambia Correctional Service The two suspects abduction case classified high risk ministry Zambia Correctional Service applying appropriate measures consistent control management inmates You may wish note inmates classified high risk also pose high threat flight
3043,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Madam Speaker Zambia Correctional Service put place measures disrupt thwart attempts escape lawful custody The following measures implemented
3044,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Madam Speaker successful implementation security measures requires concerted efforts stakeholders In regard I call upon members public work Zambia Correctional Service curb escapes provide information could lead recapture escapees I would also like sound strong warning contemplating escape lawful custody members public individuals intention aiding harbouring escapees committing crime
3045,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Madam Speaker I appeal media houses cautious reporting issues security nature reporting could negative outcomes
3046,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,I thank Madam Speaker
3047,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Madam First Deputy Speaker Hon Members free ask questions points clarification ministerial statement issued hon Minister Home Affairs Internal Security
3048,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Kang ombe Kamfinsa Madam Speaker I grateful allowing ask hon Minister Home Affairs Internal Security question
3049,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Madam Speaker basis hon Minister statement today urgent matter raised hon Member Parliament Mpika When raising urgent matter hon Member referred news item News Diggers newspaper 6th March 2023 The News Diggers newspaper reported contrary statement hon Minister issued today Is hon Minister therefore informing nation august House News Diggers newspaper lied misinformed public reported escape I raise question much gratitude media exposing certain items Is hon Minister saying News Diggers newspaper lied reported news item
3050,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Madam First Deputy Speaker Hon Member Kamfinsa kindly withdraw word lied replace another word
3051,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Madam First Deputy Speaker No I ask repeat question I said word lied unparliamentary Can please withdraw replace better word
3052,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Kang ombe Madam Speaker thank guidance I replace word lied misinformed nation Is position hon Minister
3053,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Mwiimbu Madam Speaker I would like repeat statement The statement I issued House correct version events occurred Mwembezhi Correctional Facility It Members House general public deduce
3054,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,I thank Madam Speaker
3055,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Chibuye Roan Madam Speaker I thank hon Minister statement Now hon Minister confirmed trio still incarcerated position state whether started appearing courts law If police still putting case together
3056,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Mwiimbu Madam Speaker I want confirm accused persons appearing court soon The investigations concluded dockets Director Public Prosecution DPP
3057,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Chisopa Madam Speaker point order hon Minister Home Affairs Internal Security The question hon Member Kamfinsa asked Did News Diggers newspaper misinform nation follow hon Minister said Who telling truth News Diggers newspaper hon Minister
3058,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,I seek guidance Madam Speaker
3059,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Hon Member Mkushi South raised question ask Presiding Officer course I say hon Minister Home Affairs Internal Security telling us existing ministry better raise another question issue We know hon Minister Home Affairs Internal Security telling us happening ministry
3060,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Munir Zulu Lumezi Madam Speaker I appreciate statement When came swore defend protect Constitution Republic Zambia Part 1 Constitution talks supremacy Constitution law inconsistent provisions Constitution shall declared null void I continue relying Constitution House outside House I believe supremacy I swore defend protect Constitution
3061,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Madam Speaker hon Minister told us soon abductors appear court The girls abducted witnesses breathing How soon soon police went Chalala rescue girls alerted residents neighborhood told us abductors would soon appear court five months So soon soon What protecting May hon Minister give us definite answer
3062,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Mwiimbu Madam Speaker I appreciate statements made hon Member Parliament Lumezi talked supremacy Constitution law inconsistent seen legal That position Let remind provisions Constitution give Director Public Prosecution DPP mandate prosecute accused persons country law states person interfere operations DPP I therefore inform hon Member I citizen I swore defend Constitution I shall interfere operations DPP
3063,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,I thank Madam Speaker
3064,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Tayengwa Kabwata Madam Speaker hon Minister confirmed abductors still police custody However I concerned one large facing charge aggravated robbery There many cases aggravated robbery especially Kamwala area I want find whether ministry working closely institutions ZICTA law enforcing institutions help circulating identity criminal large
3065,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mwiimbu Madam Speaker I indicated working security institutions stakeholders ensure culprit run apprehended put back correctional facility supposed
3066,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Kapyanga Mpika Thank Madam Speaker I thank hon Minister statement There information News Diggers newspaper victims decided physically go New Mwembezhi Remand Prison verify indeed abductors large I would like find hon Minister given opportunity verify
3067,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Mwiimbu Madam Speaker let inform colleague nation House law allow anyone access prison facilities unless sanctioned Commissioner General Zambia Correctional Services
3068,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Madam Speaker let confirm Government authorised victims visit facilities identity two accused persons media reports done
3069,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Mwila Mufulira Madam Speaker hon Minister timely warned detention contemplate escaping lawful custody Today connection warning report twelve suspects escaped Kalomo Police Station They still large obviously endangering peace country Why incidents escaping police custody indeed correctional services become common Has anything changed terms regulations administration detention facilities It seems like gates opening freely detainees escape lawful custody
3070,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Mwiimbu Madam Speaker question relating alleged escapees Kalomo unrelated issue I addressing floor House If hon Member would like comment I later stage let state inform escapes prisons used prevalent past evidence wants produce
3071,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Madam First Deputy Speaker Hon Members please stick contents ministerial statement
3072,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Mutale Chitambo Madam Speaker let make question Member Parliament Kamfinsa asked hon Minster My question News Diggers newspaper The hon Minister informed House version given House nation correct one
3073,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Mutale Thank Madam Speaker I aware alarming nation serious offence My question hon Minister indeed News Diggers newspaper misled nation action going take News Diggers newspaper plain clear misled us He warned desist
3074,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Mwiimbu Madam Speaker I hope us listening statement I repeat I said sake colleague permission I indicate state I appeal media houses cautious reporting issues security nature reporting could negative outcomes I time blame News Diggers newspaper neither I time state misled nation I say I said media must cautious When cautious different careless
3075,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Michelo Bweengwa Madam Speaker cases abduction crimes like cases corruption stealing people Zambia Could hon Minister kindly help understand beautiful afternoon much rush pushing people case moved quickly However people failing push minister cases yet many cases many criminals committed number crimes Some Why pushing cases quickened
3076,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Madam First Deputy Speaker Order hon Member Bweengwa Please reminded supposed discuss Let us discuss Is possible focus question without bringing hon Members house
3077,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Michelo Thank Madam speaker Why much interest three criminals forgetting hundreds criminals stolen people Zambia
3078,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Mwiimbu Madam Speaker let allay fear brother hon Member Parliament Bweengwa He see momentum soon
3079,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Mwiimbu alleged taken away resources country illegally whose cases supposed court They appearing court soon cases concluded soon crying soon
3080,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Madam First Deputy Speaker Hon Members I take point order hon Leader Opposition let guide The ministerial statement clear talking people escaped certain prison Now trying expand ministerial statement Can please stick ministerial statement
3081,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Mundubile Madam Speaker thank much My point order relates Standing Order No 65
3082,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Madam Speaker guided several occasions I remember long ago one hon Members left brought issue hon Member Parliament right reported report earning money even elected You asked hon Member withdraw Hansard remains clear We therefore surprised House directed hon Member Bweengwa withdraw statement alleged criminals House yet proceeded without withdrawing statement This means information remain Hansard
3083,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Madam Speaker hon Member order remain seat without withdrawing statement thereby misinforming House actually criminals House yet
3084,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Madam First Deputy Speaker Hon Members I think trying put Presiding Officer awkward position The rules straightforward When somebody told withdraw statement If want withdraw go ahead name person Bear us sometimes tend busy listening However instructed withdraw statement please withdraw statement Otherwise going apply Standing Order talks naming hon Member know repercussion hon Member named It requires hon Member suspended So please let us stick Standing Orders bring sanity House
3085,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Hon Members point order Do want us continue point order I trying end point order correct manner Why arguing What want tell hon Member
3086,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Madam First Deputy Speaker I told withdraw statement already making noise That supposed
3087,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,Mr Michelo Madam Speaker I Let withdraw statement I made criminals plundered national resources previous regime I withdraw replace House I thank much I apologise
3088,ESCAPE FROM PRISON OF THE ABDUCTORS OF MOBILE MONEY AGENTS,I thank Madam Speaker
